# col1      z        survey   logLX   mag    
  4.2024    0.26     22       42.91   -99.9  
  0.0877    3.65     8        43.84   -99.0  
  0.2081    2.047    22       43.66   -99.9  
  0.1514    0.735    22       42.5    -99.9  
  0.187     0.281    22       41.63   -99.9  
  0.279     1.529    22       43.5    -99.9  
  0.698     0.92     22       43.39   -99.9  
  1.78      1.434    22       44.24   -99.9  
  0.235     0.505    22       42.31   -99.9  
  0.496     0.85     8        43.16   -99.0  
  0.3883    2.169    22       43.99   -99.9  
  0.8405    0.271    22       42.25   -99.9  
  0.114     3.465    22       43.9    -99.9  
  1.64      0.794    22       43.61   -99.9  
  0.1432    1.028    22       42.81   -99.9  
  1.23      0.216    22       42.2    -99.9  
  0.48      0.678    22       42.92   -99.9  
  0.638     1.289    22       43.69   -99.9  
  2.31      0.854    22       43.83   -99.9  
  1.1       1.142    22       43.8    -99.9  
  0.296     0.346    22       42.04   -99.9  
  0.105     0.489    22       41.93   -99.9  
  0.636     2.057    22       44.15   -99.9  
  0.3327    1.188    22       43.32   -99.9  
  0.0739    0.527    22       41.85   -99.9  
  0.1607    0.946    22       42.78   -99.9  
  0.528     2.172    22       44.12   -99.9  
  0.13      0.922    22       42.66   -99.9  
  0.3399    0.676    22       42.76   -99.9  
  0.357     2.052    22       43.9    -99.9  
  0.197     0.728    22       42.6    -99.9  
  0.747     2.759    22       44.5    -99.9  
  0.786     0.269    22       42.22   -99.9  
  0.378     3.361    22       44.39   -99.9  
  0.121     3.076    22       43.81   -99.9  
  1.9364    2.454    22       44.8    -99.9  
  0.108     2.335    22       43.5    -99.9  
  0.269     2.387    22       43.92   -99.9  
  1.1433    2.055    22       44.4    -99.9  
  0.641     1.178    22       43.6    -99.9  
  0.181     0.849    22       42.72   -99.9  
  0.225     0.85     22       42.82   -99.9  
  0.405     0.349    22       42.18   -99.9  
  0.59      1.881    22       44.03   -99.9  
  1.8952    0.34     22       42.83   -99.9  
  0.1833    1.214    22       43.09   -99.9  
  0.127     0.822    22       42.53   -99.9  
  0.253     0.768    22       42.76   -99.9  
  1.42      0.5      22       43.08   -99.9  
  0.189     0.823    22       42.71   -99.9  
  0.5809    2.506    22       44.3    -99.9  
  0.1936    1.679    22       43.43   -99.9  
  0.858     0.703    22       43.2    -99.9  
  0.0882    0.772    22       42.31   -99.9  
  0.151     1.025    22       42.83   -99.9  
  0.192     3.535    22       44.15   -99.9  
  0.443     1.004    22       43.28   -99.9  
  0.144     0.345    22       41.72   -99.9  
  10.2      1.317    22       44.91   -99.9  
  0.16      0.91     22       42.74   -99.9  
  0.182     0.273    22       41.59   -99.9  
  0.5088    1.0      22       43.33   -99.9  
  0.933     0.346    22       42.53   -99.9  
  3.47      1.403    22       44.51   -99.9  
  0.266     0.93     8        42.98   -99.0  
  0.0733    2.808    22       43.51   -99.9  
  0.0455    2.589    22       43.23   -99.9  
  0.252     0.734    22       42.72   -99.9  
  2.29      1.888    22       44.62   -99.9  
  0.559     1.889    22       44.01   -99.9  
  0.2215    1.623    22       43.46   -99.9  
  4.35      1.48     22       44.66   -99.9  
  0.355     0.317    22       42.03   -99.9  
  0.1133    0.893    22       42.57   -99.9  
  0.282     2.079    22       43.81   -99.9  
  0.0451    3.4      8        43.48   -99.0  
  1.06      2.377    22       44.51   -99.9  
  0.44      2.755    22       44.27   -99.9  
  0.3172    2.59     22       44.07   -99.9  
  0.847     0.878    22       43.42   -99.9  
  1.3       0.69     22       43.37   -99.9  
  0.2596    0.983    22       43.02   -99.9  
  0.183     0.471    22       42.13   -99.9  
  0.1514    1.347    22       43.11   -99.9  
